Região/Unidade da Federação;0201 Coleta de material;0202 Diagnóstico em laboratório clínico;0203 Diagnóstico por anatomia patológica e citopatologia;0204 Diagnóstico por radiologia;0205 Diagnóstico por ultrasonografia;0206 Diagnóstico por tomografia;0207 Diagnóstico por ressonância magnética;0208 Diagnóstico por medicina nuclear in vivo;0209 Diagnóstico por endoscopia;0210 Diagnóstico por radiologia intervencionista;0211 Métodos diagnósticos em especialidades;0212 Diagnóstico e procedimentos especiais em hemoterapia;0214 Diagnóstico por teste rápido;0301 Consultas / Atendimentos / Acompanhamentos;0302 Fisioterapia;0303 Tratamentos clínicos (outras especialidades);0304 Tratamento em oncologia;0305 Tratamento em nefrologia;0306 Hemoterapia;0307 Tratamentos odontológicos;0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas;0309 Terapias especializadas;0310 Parto e nascimento;0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa;0402 Cirurgia de glândulas endócrinas;0403 Cirurgia do sistema nervoso central e periférico;0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço;0405 Cirurgia do aparelho da visão;0406 Cirurgia do aparelho circulatório;0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal;0408 Cirurgia do sistema osteomuscular;0409 Cirurgia do aparelho geniturinário;0410 Cirurgia de mama;0411 Cirurgia obstétrica;0412 Cirurgia torácica;0413 Cirurgia reparadora;0414 Bucomaxilofacial;0415 Outras cirurgias;0416 Cirurgia em oncologia;0417 Anestesiologia;0418 Cirurgia em nefrologia;0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante;0502 Avaliação de morte encefálica;0503 Ações relacionadas à doação de orgãos e tecidos para transplante;0504 Processamento de tecidos para transplante;0505 Transplante de orgãos, tecidos e células;0506 Acompanhamento e intercorrências no pré e pós-transplante;0603 Medicamentos de âmbito hospitalar e urgência;0702 Órteses, próteses e materiais especiais relacionados ao ato cirúrgico;0801 Ações relacionadas ao estabelecimento;0802 Ações relacionadas ao atendimento;Total
.. Espírito Santo;2625329,35;588595,41;8299998,3;5963,5;16163121,14;45070794,07;7894853,25;416079,77;3802477,7;3280964,02;10438368,58;15601602,48;383811,8;36900558,78;45957754,6;527515419;48400215,27;53020933,45;5800232,67;881,06;11628066,72;28512196,35;133090943,2;43544837,45;982099,77;39011816,95;22698145,25;28976682;195769104,8;170437870,6;153025456,9;55570901,21;2350931,79;143276843,1;26611980,38;18310846,55;1561388,55;27405712,47;187563231,5;17911918,4;978050,2;486717,64;125230;5219610,9;1140;80788948,34;4945035,71;19974658,87;333061319,7;2243855;817617204,1;3405850699
.. Rio de Janeiro;8957175,3;722283,19;10355978,83;34805,03;58565053,51;169776178,6;9813472,69;4073464,33;11101319,57;15767260,07;21257128,83;22588479,6;1202914,85;171985838,5;117872473,2;2599523104;102410242,8;207170665,4;11928969,55;1858,08;29611125,96;6711841,05;566587400,8;155913730,6;7014833,89;134767070,4;54696303,5;82018070,13;419731512,7;433290773,8;432633859,3;206305912;16919345,29;307044436,1;49587758,99;36851182,57;6157242,17;60409255,48;333762104,4;50642125,46;1578932,31;2786054,18;495785;12964583,84;624212;285620012;15519968,22;45417141,09;850248554,3;4511964,25;2181859407;10337391165
.. São Paulo;28715002,22;15308685,19;159648398;490383,06;233250578,7;760370703,2;131628608,5;33791594,53;66705863,62;46810957,14;168123328,5;151505587,2;3103772,05;643084484,1;418527814,8;7321063226;407164243,5;517565595,2;77233164,1;70499,48;99539924,3;472962051,4;1523878169;278786785,7;21768199,49;571379123,7;320684594,4;416162837,5;2266771247;1658659792;1476635399;741785160,6;66103533,38;1327433092;233634430,1;149289888,5;19854469,31;161736717,5;1409815524;189976748,8;14033152,37;37603524,39;4237485;124943982,8;3017044,3;2019997607;203079776,1;302036936,9;4008481969;62239846,5;10025912803;41396604304
Região Sul;31270117,66;15442978;166833662,2;499716,89;170575104,9;601658590;121616387,6;26189739,92;53920941,16;90601847,24;325861522,9;152959389,6;1634341;323357851,6;436631317,6;5821403185;511854660,5;383610226,8;62372100,99;10374,93;74910635,54;326700427,1;1017571221;286067008,7;12432504,89;586320035,8;289563637,3;207598955,1;2377336245;1591137014;1556529238;515034516;34488119,96;900373768,4;303567169,6;144033505,6;18260046,08;187112712,9;1417182292;125147983,1;12371132,47;22491242,57;3531150;99660491,82;13727375,25;1265725219;119806532,7;206512309,5;4322999302;54307859,75;7890113342;35280917050
.. Paraná;9104982,19;4429583,18;62423718,23;322110,87;62911286,85;223437012,2;42417709,66;4322170,37;19620440,67;43066272,23;195601874,2;63402142,32;619107;120131956,7;174920657,5;2382840294;201358592,5;155206659,2;27748465,36;3939,97;33261009,93;119176200,4;399825565,6;80894621,81;4437090,69;253988756,8;133844208,9;93738871,91;1100300071;702717220,4;619487925,7;189621213,6;10130069,72;350890849,3;123161439,4;83254624,54;5790752,33;80301114,74;612978957,9;51550497,97;5956390,74;10149958,41;1697075;42608587,23;12546531,45;538986627,2;38462380,62;83136270,77;1729736753;27762332,5;3347231762;14681514707
.. Santa Catarina;5664965,53;2659975,22;35333333,95;72626,43;40017304,8;152856032,6;30723270,42;2823388,43;12594065,19;16472455,42;61763918,66;33798192,48;327463;78173269,62;106355784,2;1233002455;123749592,1;85450944,48;12080343,38;681,5;17371435,81;70652813,7;265889236,9;59348345,31;3193802,76;156560137,3;67320121,15;32888198,57;464923892,5;366817163,1;488016652,7;135983425,1;8465995,48;240392456,3;84145337,52;31187093,13;3932576,79;59763002,08;293498707;31400642,34;2823474,55;3423667;979515;28497541,04;514402,5;281000586,5;21851956,4;48052082,88;930183443,1;11354262,25;1590659134;7835011163
.. Rio Grande do Sul;16500169,94;8353419,6;69076609,97;104979,59;67646513,21;225365545,2;48475407,5;19044181,12;21706435,3;31063119,59;68495730,08;55759054,8;687771;125052625,2;155354875,9;2205560436;186746475,8;142952623,1;22543292,25;5753,46;24278189,8;136871413;351856418,8;145824041,6;4801611,44;175771141,7;88399307,19;80971884,6;812112281,8;521602630,5;449024659,5;189429877,3;15892054,76;309090462,9;96260392,6;29591787,9;8536716,96;47048596,03;510704627,6;42196842,82;3591267,18;8917617,16;854560;28554363,55;666441,3;445738005,5;59492195,66;75323955,81;1663079105;15191265;2952222446;12764391180
Região Centro-Oeste;8931397,8;2411997,71;31954507,35;44853,87;46915991,73;171437032,1;17397980,21;1611892,91;8742562,77;11182879,13;50344578,14;38546712,24;1148459,6;181260665,3;137443888,6;2375359122;107001271,9;181803622,2;19595678,16;3648,38;59348786,73;60740991,15;598168066,2;78803287,43;4720189,88;174588392,9;71675748,27;107246245,5;616758015,2;550066396,2;642044701,7;235768608,5;15613347,63;536474577,4;95473240,97;87298305,65;5406080,96;55311994,4;364621930,9;67883527,82;3287678,18;4037372,13;910110;11053344,71;294609,6;168109604;11996246,99;41951915,31;1166156491;17481882,75;2824210912;12070641345
.. Mato Grosso do Sul;1534956,57;166092,13;10490893,4;2157,46;12831841,52;27917325,33;3977281,53;9570,56;2822350,47;5080344,05;14649956,65;3400383,12;142710,4;25161488,03;26036776,64;385518027,1;25428739,55;35593448,99;3469474,76;515,95;7734922,33;22730604,76;106895452,4;7055847,9;980168,25;30573995,74;9854742,08;25318492,66;145661168,1;102567162,3;135794060,6;40274023,1;2893369,83;113005754,6;27129845,13;36066157,29;1034041,14;18318411,06;57753304,23;13573044,63;1342636,19;690381,98;286115;2762447,97;291189,6;10329496,68;2387362,32;10447546,97;204771802;4633199;597134016,3;2324525096
.. Mato Grosso;654084,47;405794,27;5815294,95;1126,54;7927452,91;35875458,38;489686,25;110744,71;1149178,17;1226093,84;3671969,3;12419689,2;290236,35;17629685,24;26852890,36;469864419,3;22147936,32;35234632,43;4980647,3;1729,91;16152655,08;8386727,37;145132025,6;21664718,95;1460068,4;18755407,21;14560873,16;4939964,97;66185080,71;112374370,2;105525399,1;47707855,68;1952750,55;125220418,5;12282298,36;8057721,42;1375205,72;12704708,56;59702186,3;13795437,96;314682,74;14910,92;44150;167629,26;-;339620,43;164104,7;7581057,72;153064406,1;4568481,75;569176113,6;2180119781
.. Goiás;4338340,24;1362998,2;14092351,42;19079,38;12340279,09;59002358,15;4037561,27;69695,72;2644265,5;2475672,31;22133132,62;18751719,12;166576,5;38403842,05;59291139,43;1086971413;28180742,72;73034550,58;8211521,02;269,08;16755360,4;13864975,1;161063690;31375352,42;1497905,57;80638484,96;34954609,88;61272529,69;265966675,5;237393986;302914945,5;106359465,4;5567455,2;164655209,6;35858919,52;34414520,76;2049773,39;18772824,45;193499012,7;21483886,82;1330197,59;1115561,2;74040;2337359,99;3420;51911241,51;4975102,57;10661173,91;600787568,8;5982760;1068508098;4973573613
.. Distrito Federal;2404016,52;477113,11;1555967,58;22490,49;13816418,21;48641890,26;8893451,16;1421881,92;2126768,63;2400768,93;9889519,57;3974920,8;548936,35;100065650;25263082,19;433005262,4;31243853,29;37940990,24;2934035,08;1133,44;18705848,92;15758683,92;185076898,2;18707368,16;782047,66;44620504,99;12305523,15;15715258,15;138945090,9;97730877,78;97810296,53;41427264,3;5199772,05;133593194,7;20202177,96;8759906,18;947060,71;5516050,33;53667427,71;19031158,41;300161,66;2216518,03;505805;5785907,49;-;105529245,4;4469677,4;13262136,71;207532714,5;2297442;589392684,5;2592422854
Total;151745100,3;44755487,12;568455958,7;1554883,52;827830108,6;2456301890;397477902,9;85053653,82;203923406;230701450,9;805551027,3;580340082,6;14903986,2;2197715786;1937763221;32833005556;1969114294;2340658686;273908706,7;100215,74;538041953,7;1251453547;8412145831;1582580173;81414297,46;2475015325;1177073114;1300638701;8704713995;7652297731;7086004419;3407103300;229942666,4;6893799134;1174978025;945195459,9;93581486,21;1031172562;6957136387;885725698,2;59524237,36;93865082,49;12596030;340580551,1;21799994,45;5214711618;494692622,2;908507604;15758901651;234737880,5;39540967658;1,72482E+11
&;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
