"Ano/mês";" Idade ignorada";"Ate 30 dias";"30 dias a 1 ano";"2 meses";"3 meses";"4 meses";"5 meses";"6 meses";"7 meses";"Menor de 1 ano";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"1 a 2 anos";"1 a 4 anos";"1 a 11 anos";"2 a 4 anos";"3 a 8 anos";"5 a 6 anos";"5 a 8 anos";"5 a 9 anos";"5 a 10 anos";"5 a 12 anos";"5 anos e mais";"7 a 9 anos";"7 a 11 anos";"7 a 14 anos";"7 a 17 anos";"7 anos e mais";"9 a 12 anos";"10 a 11 anos";"10 a 14 anos";"11 a 14 anos";"7 a 8 anos";"12 a 14 anos";"13 a 14 anos";"13 a 19 anos";"15 a 16 anos";"15 a 19 anos";"15 a 49 anos";"15 a 59 anos";"17 a 19 anos";"18 a 19 anos";"20 a 24 anos";"20 a 29 anos";"20 a 59 anos";"20 a 25 anos";"20 a 26 anos";"26 a 27 anos";"27 e mais";"25 a 29 anos";"30 a 34 anos";"30 a 39 anos";"35 a 39 anos";"40 a 44 anos";"40 a 49 anos";"45 a 49 anos";"50 a 59 anos";"60 a 64 anos";"60 anos e mais";"65 a 69 anos";"65 anos e mais";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 anos e mais";"Gestantes 10 a 11 anos";"Gestantes 12 a 14 anos";"Gestantes 15 a 49 anos";"Não gestantes 12 a 14 anos";"Não gestantes 12 a 49 anos";"Não gestantes 15 a 49 anos";"Homens 12 a 14 anos";"Homens 12 a 49 anos";"Homens 15 a 49 anos";"Sem discriminação de idade";"Ignorado";" Total"
"2007/Set";"0";"0";"0";"198681";"15139";"172287";"14284";"0";"0";"2480694";"738471";"83426";"57576";"273721";"0";"0";"0";"0";"0";"21063";"0";"0";"0";"0";"0";"0";"0";"7642";"44364";"0";"7073";"9125";"260285";"20900";"7080";"23350";"0";"0";"0";"132503";"2539";"103";"1190";"17803";"0";"44615";"73560";"0";"0";"27880";"22316";"33530";"143691";"0";"211563";"40000";"46";"56802";"0";"376146";"0";"0";"0";"0";"55093";"44646";"0";"36648";"25614";"0";"19801";"107352";"0";"129128";"0";"0";"0";"0";"0";"0";"0";"0";"12984";"240171";"51555";"0";"330354";"39049";"273999";"414994";"0";"0";"7400836"
"2007/Out";"0";"0";"0";"214843";"15244";"196973";"16407";"0";"0";"2657704";"683365";"38192";"21884";"151668";"0";"0";"0";"0";"0";"21045";"0";"0";"0";"0";"0";"0";"0";"4412";"43161";"0";"6807";"5719";"169583";"21437";"6244";"21340";"0";"0";"0";"133864";"2433";"97";"971";"17047";"0";"45725";"82711";"0";"0";"29853";"20439";"33204";"143334";"0";"216032";"38338";"25";"53749";"0";"373997";"0";"0";"0";"0";"52912";"42049";"0";"36249";"25333";"0";"19124";"103392";"0";"106897";"0";"0";"0";"0";"0";"0";"0";"0";"12660";"248658";"8435873";"0";"325243";"39971";"279267";"420496";"0";"0";"15635971"
"2007/Nov";"0";"0";"0";"210064";"15555";"179252";"16511";"0";"0";"2567036";"689086";"36538";"20569";"156933";"0";"0";"0";"0";"0";"20982";"0";"0";"0";"0";"0";"0";"0";"2377";"36332";"0";"6558";"3364";"176921";"18782";"7150";"20199";"0";"0";"0";"123895";"2296";"100";"994";"16601";"0";"46484";"71835";"0";"0";"26183";"20574";"29491";"117420";"0";"202842";"33771";"57";"47041";"0";"327915";"0";"0";"0";"0";"48050";"37772";"0";"32167";"22830";"0";"18320";"96463";"0";"97091";"0";"0";"0";"0";"0";"0";"0";"0";"12619";"244230";"49635";"0";"303909";"38788";"239031";"386494";"0";"0";"6879107"
"2007/Dez";"0";"0";"0";"182800";"13596";"161237";"14958";"0";"0";"2321365";"612329";"32443";"18033";"131089";"0";"0";"0";"0";"0";"12366";"0";"0";"0";"0";"0";"0";"0";"1703";"30198";"0";"5761";"3074";"149734";"15427";"10699";"14999";"0";"0";"0";"92255";"1941";"89";"777";"14609";"0";"64562";"52412";"0";"0";"15923";"18400";"18468";"94265";"0";"355135";"23366";"40";"33347";"0";"280818";"0";"0";"0";"0";"33000";"26900";"0";"24566";"13791";"0";"11435";"81482";"0";"114446";"0";"0";"0";"0";"0";"0";"0";"0";"11336";"218116";"40247";"0";"249906";"32240";"166633";"326592";"0";"0";"6148908"
"2008/Jan";"0";"0";"0";"216479";"16289";"194800";"17128";"0";"0";"2799017";"808660";"52089";"35504";"214050";"0";"0";"0";"0";"0";"23853";"0";"0";"0";"0";"0";"0";"0";"1095";"30516";"0";"12569";"1891";"235190";"21902";"118634";"22928";"0";"0";"0";"150792";"1843";"76";"1248";"22127";"0";"897109";"87054";"0";"0";"21809";"29708";"29115";"177205";"0";"6180218";"36635";"29";"55317";"0";"423146";"0";"0";"0";"0";"67637";"51564";"0";"41742";"28654";"0";"24687";"196119";"0";"1008079";"0";"0";"0";"0";"0";"0";"0";"0";"16479";"270665";"72097";"0";"536711";"63067";"122210";"677765";"0";"0";"16113501"
"2008/Fev";"0";"0";"0";"198081";"14943";"168005";"15010";"0";"0";"2513322";"715808";"38868";"20563";"179343";"0";"0";"0";"0";"0";"18263";"0";"0";"0";"0";"0";"0";"0";"2044";"29136";"0";"6965";"3096";"190841";"16427";"28224";"17370";"0";"0";"0";"104737";"1558";"108";"1040";"17542";"0";"221194";"64623";"0";"0";"14952";"22738";"20282";"143895";"0";"1720821";"27685";"53";"42441";"0";"364033";"0";"0";"0";"0";"53841";"34767";"0";"26219";"17100";"0";"15136";"128069";"0";"302337";"0";"0";"0";"0";"0";"0";"0";"0";"13658";"249176";"51276";"0";"373302";"43806";"52600";"515394";"0";"0";"8820692"
"2008/Mar";"0";"0";"0";"206735";"14030";"172721";"14166";"0";"0";"2543327";"681450";"34388";"17812";"166237";"0";"0";"0";"0";"0";"17136";"0";"0";"0";"0";"0";"0";"0";"1066";"28018";"0";"5359";"1517";"170242";"14685";"20528";"14267";"0";"0";"0";"85240";"1229";"121";"927";"15148";"0";"93469";"49195";"0";"0";"16218";"19571";"21005";"122037";"0";"756584";"27324";"48";"40371";"0";"334352";"0";"0";"0";"0";"46656";"31969";"0";"25761";"15310";"0";"12262";"116062";"0";"181008";"0";"0";"0";"0";"0";"0";"0";"0";"12585";"247838";"41384";"0";"329480";"35137";"21457";"469713";"0";"0";"7293145"
"2008/Abr";"0";"0";"0";"217047";"14137";"175108";"14454";"0";"0";"2615851";"723337";"36032";"19300";"186278";"0";"0";"0";"0";"0";"18290";"0";"0";"0";"0";"0";"0";"0";"6537";"27083";"0";"5978";"11468";"191367";"14372";"13698";"14576";"0";"0";"0";"92364";"1197";"116";"1295";"20278";"0";"79404";"53132";"0";"391";"20130";"28752";"25181";"129536";"0";"676971";"34556";"31";"44306";"158";"393516";"0";"0";"0";"0";"52178";"34777";"116";"28204";"17683";"0";"12896";"134175";"4352613";"529575";"3612785";"0";"2436431";"1776396";"1140670";"519177";"243434";"0";"12146";"252355";"44027";"0";"345298";"36714";"9296";"486861";"0";"0";"21984034"
"2008/Mai";"0";"0";"0";"212044";"14171";"171929";"13779";"0";"0";"2531905";"695842";"35316";"18372";"180012";"0";"0";"0";"0";"0";"18934";"0";"0";"0";"0";"0";"0";"0";"29888";"28751";"0";"12399";"64663";"183139";"17402";"8841";"14014";"0";"0";"0";"83316";"1054";"174";"770";"51698";"0";"51835";"48991";"0";"0";"18174";"66445";"23295";"105563";"0";"303478";"27104";"129";"36548";"8837";"768941";"0";"0";"0";"0";"40101";"27549";"7868";"20981";"13657";"0";"10439";"127989";"0";"838360";"0";"0";"0";"0";"0";"0";"0";"0";"12021";"231149";"40195";"0";"285626";"33909";"3506";"389642";"0";"0";"7930745"
"2008/Jun";"0";"0";"0";"229517";"16069";"185373";"15341";"0";"0";"5994243";"1010498";"129750";"94350";"695115";"0";"0";"0";"0";"0";"19675";"0";"0";"0";"0";"0";"0";"0";"31031";"12390076";"0";"7994";"58318";"544571";"16125";"27947";"17671";"0";"438531";"0";"100215";"1317";"105";"953";"40095";"0";"79335";"55432";"0";"3";"20769";"52876";"25088";"113741";"0";"398636";"26656";"30";"37592";"25616";"680199";"0";"0";"0";"0";"40260";"28530";"21599";"21588";"14053";"0";"9958";"104368";"2565";"269666";"1475";"0";"964";"801";"729";"188";"75";"0";"12881";"235648";"49334";"0";"305617";"37164";"2575";"387718";"0";"0";"25128609"
